last_name, first_name, patronymiс, organization, personal_phone, work_phone
Апаев,Кантик,Заурович,Готика,9999999999,88888888888
Артемьева,Марина,Дмитриевна,CodeCraft Solutions,8889990001,1110009998
Барагунова,Екатерина,Петрова,DateMaster comp.,888888888,999999999
Васильева,Ольга,Ивановна,SmartData Systems,7778889990,2221113334
Воронин,Иван,Николаевич,WebDev Solutions,3332221110,6667778882
Гаврилова,Марина,Ивановна,SoftServe Solutions,4445556667,7778889990
Гирков,Александр,Васильевич,SmartTech Solutions,8887776665,5554443332
Григорьев,Сергей,Алексеевич,FutureWare Ltd.,6665554443,3332221110
Гусева,Елена,Васильевна,IT Innovations Ltd.,6665554443,3332221110
Зайцев,Владислав,Михайлович,WebGenius Technologies,4443332221,1110009998
Иванов,Иван,Иванович,"ООО ""Программисты""",1234567890,9876543210
Казакова,Анастасия,Дмитриевна,TechGenius Inc.,4443332221,1110009998
Ковалев,Артем,Алексеевич,CodeMaster Systems,2221113334,7778889990
Костин,Игорь,Степанович,SmartDev Group,3332221110,6667778882
Кузнецов,Артем,Викторович,SoftDev Inc.,1357924680,2468135790
Кузьмина,Анна,Игоревна,SoftInnovate Group,7778889990,2221113334
Куликов,Артур,Дмитриевич,SoftDev Corporation,8887776665,5554443332
Куликов,Владимир,Владимирович,CodeCrafters Ltd.,2223334445,5554443332
Лебедев,Алексей,Данилович,WebGenius Co.,6667778882,3334445556
Лебедев,Владимир,Петрович,FutureTech Solutions,4443332221,1110009998
Макаров,Сергей,Павлович,FutureSoft Corporation,6667778882,3332221110
Максимова,Анна,Сергеевна,Softline Group,8889990001,1110009998
Марков,Иван,Владимирович,CodeGuru Technologies,1110009998,8889990001
Михайлова,Елена,Павловна,ITPro Experts,1110009998,8889990001
Николаева,Ольга,Андреевна,IT Innovations Group,7776665554,2221113334
Павлов,Игорь,Александрович,TechSavvy Solutions,5554443332,2223334445
Павлова,Ирина,Сергеевна,WebMaster Group,2221113334,7778889990
Петрова,Мария,Александровна,IT Solutions Ltd.,1112223334,5556667778
Попов,Михаил,Александрович,DevTeam Solutions,9998887776,4443332221
Пшиготижев,Алим,Заурович,Codewars,193999213499,79889251000
Пшиготижев,Артем,Сергеевич,WebCraft Corporation,8889990001,1110009998
Пшиготижев,Залим,Заурович,Codewars,193999213499,79889251000
Родионова,Мария,Дмитриевна,ITPro Solutions,7778889990,2221113334
Романов,Павел,Игоревич,BrainStorm Technologies,7778889990,2221113334
Семенова,Наталья,Алексеевна,DataTech Innovations,3334445556,6667778882
Семенова,Наталья,Ивановна,TechSupport Experts,7776665554,2221113334
Сидоров,Алексей,Петрович,Data Science Corp,9876543210,1234567890
Смирнова,Екатерина,Владимировна,"АО ""Разработчики""",5556667778,1112223334
Соколов,Дмитрий,Сергеевич,MegaSoft LLC,9998887776,4443332221
Соловьев,Денис,Александрович,DataTech Innovations,1110009998,8889990001
Сорокина,Екатерина,Александровна,ITExpert Solutions,5554443332,8887776665
Тарасов,Алексей,Артемович,SoftTech Systems,7778889990,2221113334
Федоров,Павел,Алексеевич,DataMaster Solutions,8889990001,1110009998
